Neighborhood,Average_GPI,Avg_IAI_Wheelchair,Avg_IAI_Cane,Avg_IAI_Pedestrian
Whole Seattle,0.4011,0.3649,0.3501,0.3089
Adams,0.3722,0.3696,0.3691,0.2595
Atlantic,0.3213,0.3048,0.3026,0.2322
Belltown,0.3745,0.4211,0.4168,0.3695
Briarcliff,0.3475,0.3253,0.2889,0.357
Broadway,0.4457,0.477,0.4753,0.357
Bryant,0.3914,0.3751,0.3681,0.2764
Central Business District,0.2052,0.2067,0.2085,0.1722
East Queen Anne,0.4151,0.43,0.4248,0.3111
Eastlake,0.3908,0.3798,0.373,0.3129
First Hill,0.4652,0.4803,0.477,0.4043
Fremont,0.393,0.4049,0.4043,0.2828
Green Lake,0.3696,0.3315,0.3219,0.2525
Harbor Island,0.3676,0.2936,0.2882,0.2379
Harrison/Denny-Blaine,0.3805,0.3502,0.3369,0.2729
Industrial District,0.4112,0.3005,0.2698,0.3214
Interbay,0.421,0.3133,0.292,0.3005
International District,0.3259,0.3261,0.3259,0.2646
Laurelhurst,0.2831,0.2788,0.2805,0.1825
Lawton Park,0.3608,0.3357,0.3271,0.2513
Leschi,0.3956,0.3641,0.3565,0.2828
Lower Queen Anne,0.3632,0.3895,0.3881,0.303
Loyal Heights,0.4539,0.4215,0.3997,0.368
Madison Park,0.3478,0.3282,0.3277,0.2061
Madrona,0.384,0.393,0.3949,0.2353
Mann,0.3147,0.3519,0.3544,0.2322
Minor,0.377,0.4009,0.4029,0.282
Montlake,0.3602,0.3184,0.3079,0.2638
Mount Baker,0.3908,0.351,0.3343,0.3024
North Beacon Hill,0.3748,0.3635,0.3582,0.2538
North Queen Anne,0.402,0.3796,0.3689,0.3077
Phinney Ridge,0.4271,0.4446,0.4389,0.3037
Pike-Market,0.521,0.6078,0.6003,0.5153
Pioneer Square,0.1999,0.1857,0.1858,0.1511
Portage Bay,0.3253,0.3314,0.3314,0.218
Ravenna,0.5121,0.4143,0.3743,0.4502
Roosevelt,0.4542,0.3921,0.3655,0.3812
Sand Point,0.4012,0.2653,0.2297,0.3322
South Lake Union,0.1822,0.1628,0.1667,0.1253
Southeast Magnolia,0.3689,0.3742,0.3763,0.2329
Stevens,0.3459,0.3209,0.3098,0.2881
Sunset Hill,0.4026,0.361,0.3333,0.3389
University District,0.3596,0.3711,0.3691,0.2842
View Ridge,0.4755,0.3678,0.3344,0.393
Wallingford,0.4508,0.4618,0.4655,0.2695
West Queen Anne,0.3588,0.3432,0.3336,0.2864
West Woodland,0.3081,0.3341,0.3365,0.2044
Westlake,0.2881,0.2772,0.2776,0.2182
Whittier Heights,0.5131,0.4127,0.3753,0.4451
Windermere,0.3986,0.3533,0.3369,0.2877
Yesler Terrace,0.5198,0.5202,0.5163,0.4191
